상가업소번호,가게명,keyword30_1,keyword30_2
MA010120220814100801,커피크레페본점,"[('', 1345), ('맛있다', 280), ('크레페', 181), ('너무', 154), ('먹다', 145), ('귀엽다', 136), ('좋다', 99), ('맛', 65), ('친절하다', 61), ('사장님', 52), ('오다', 52), ('딸기', 50), ('보다', 47), ('예쁘다', 46), ('진짜', 44), ('신촌', 43), ('들다', 34), ('크림', 32), ('친절한', 28), ('토핑', 28), ('정말', 27), ('과일', 26), ('많다', 26), ('디저트', 25), ('맛집', 25), ('브륄레', 25), ('커피', 25), ('추천', 24), ('먹기', 23), ('싶다', 23), ('완전', 23), ('요', 23), ('주문', 23), ('한', 23), ('달달', 22), ('아이스크림', 22), ('사진', 21), ('이에요', 21), ('에도', 20), ('메뉴', 18), ('방문', 18), ('엄청', 18), ('없다', 18), ('이쁘다', 18), ('추가', 18), ('가다', 17), ('되다', 17), ('비주', 17), ('좋아하다', 16), ('아깝다', 15)]","[(' 맛있다  ', 190), (' ', 142), (' 크레페 ', 133), (' 너무 ', 94), (' 먹다 ', 91), ('귀엽다 ', 82), (' 좋다 ', 67), (' 귀엽다 ', 55), (' 친절하다 ', 50), (' 너무 귀엽다 ', 48), (' 맛 ', 44), (' 귀엽다 맛있다  ', 38), (' 너무 맛있다  ', 37), (' 예쁘다 ', 37), ('너무 ', 37), (' 오다 ', 32), (' 사장님 ', 31), (' 진짜 ', 30), (' 딸기 ', 29), ('맛있다  ', 24), ('', 23), (' 들다 ', 22), (' 신촌 ', 22), (' 정말 ', 22), (' 토핑 ', 21), (' 디저트 ', 18), (' 많다 ', 18), (' 완전 ', 18), (' 맛있다 ', 16), (' 맛있다  먹다 ', 16), (' 먹기 ', 16), (' 메뉴 ', 16), (' 엄청 ', 16), (' 맛집 ', 15), (' 싶다 ', 15), (' 과일 ', 14), (' 이쁘다 ', 14), (' 친절한 사장님 ', 14), (' 먹다 보다 ', 13), (' 주문 ', 13), (' 커피 ', 13), (' 너무 좋다 ', 12), (' 달달 ', 12), (' 아이스크림 ', 12), (' 없다 ', 12), (' 크레페 너무', 12), (' 너무 너무 ', 11), (' 매장 ', 11), (' 사진 ', 11), (' 양도 ', 11)]"
MA0101202301A0105088,백소정 신촌점,"[('', 1081), ('맛있다', 317), ('너무', 89), ('좋다', 87), ('먹다', 80), ('매장', 61), ('깔끔하다', 58), ('오다', 54), ('마제소바', 52), ('음식', 46), ('보다', 37), ('친절하다', 36), ('돈까스', 32), ('넓다', 29), ('맛', 27), ('깨끗하다', 26), ('많다', 25), ('메뉴', 25), ('생기다', 25), ('백', 24), ('신촌', 22), ('처음', 22), ('맛집', 21), ('돈카츠', 19), ('소정', 19), ('진짜', 18), ('추천', 18), ('새롭다', 17), ('요', 16), ('깔끔한', 15), ('나오다', 15), ('방문', 15), ('인테리어', 14), ('엄청', 13), ('자주', 13), ('소바', 12), ('양도', 12), ('친절한', 12), ('튀김', 12), ('정말', 11), ('청결하다', 11), ('치즈', 11), ('고기', 10), ('직원분들', 10), ('우동', 9), ('가다', 9), ('구성', 9), ('소', 9), ('이에요', 9), ('잘', 9)]","[(' 맛있다  ', 176), (' 너무 맛있다  ', 56), ('맛있다 ', 54), (' 좋다 ', 51), (' ', 48), (' 매장 ', 48), ('너무 ', 41), (' 먹다 ', 38), ('맛있다  ', 38), (' 너무 ', 37), ('깔끔하다 ', 33), (' 음식 ', 31), (' 마제소바 ', 30), (' 오다 ', 27), ('', 26), (' 깔끔하다 ', 24), (' 돈까스 ', 23), (' 친절하다 ', 23), (' 맛있다 ', 21), (' 넓다 ', 19), (' 생기다 ', 19), (' 좋다', 19), (' 처음 ', 18), ('깨끗하다 ', 16), (' 많다 ', 15), (' 먹다 보다 ', 15), (' 메뉴 ', 15), (' 백 소정 ', 15), (' 너무 좋다 ', 13), (' 매장 넓다 ', 13), (' 새롭다 ', 13), (' 신촌 ', 13), (' 음식 맛있다  ', 13), (' 진짜 ', 13), (' 돈카츠 ', 12), (' 맛있다  매장 ', 12), (' 오다 보다 ', 12), ('마제소바 ', 12), (' 깔끔한 매장 ', 11), (' 새롭다 생기다 ', 11), (' 인테리어 ', 11), (' 정말 ', 11), (' 나오다 ', 10), (' 맛 ', 10), (' 맛있다  먹다 ', 10), (' 맛집 ', 10), (' 엄청 ', 10), (' 자주 ', 9), (' 청결하다 ', 9), ('소바 ', 9)]"
MA0101202212A0005803,룸의정석 신촌점,"[('', 1138), ('좋다', 119), ('안주', 73), ('헌팅', 70), ('맛있다', 58), ('재밌다', 56), ('룸', 51), ('너무', 45), ('놀다', 42), ('게임', 40), ('분위기', 37), ('많다', 34), ('곳', 33), ('깔끔하다', 29), ('친절하다', 29), ('먹다', 27), ('술', 27), ('술집', 27), ('진짜', 27), ('가다', 23), ('오다', 22), ('정말', 22), ('친구', 22), ('정석', 18), ('되다', 17), ('잘', 17), ('직원분들', 17), ('다', 16), ('신촌', 16), ('이에요', 16), ('편하다', 16), ('다양하다', 15), ('방', 15), ('이랑', 15), ('들다', 14), ('사장님', 14), ('완전', 14), ('친절한', 14), ('시설', 13), ('한', 13), ('가성비', 12), ('갈다', 12), ('대화', 12), ('되어다', 12), ('말다', 12), ('보다', 12), ('없다', 12), ('요', 12), ('음식', 12), ('가보다', 11)]","[(' ', 82), (' 좋다 ', 71), (' 안주 ', 61), (' 헌팅 ', 45), (' 재밌다 ', 41), (' 맛있다  ', 39), (' 너무 ', 28), ('게임 ', 26), (' 놀다 ', 25), (' 많다 ', 24), (' 분위기 ', 22), (' 친절하다 ', 20), (' 정말 ', 18), (' 진짜 ', 17), (' 먹다 ', 15), (' 깔끔하다 ', 13), (' 룸 정석 ', 13), (' 안주 맛있다  ', 13), ('', 12), (' 다양하다 ', 12), (' 룸 ', 12), ('깔끔하다 ', 12), (' 너무 좋다 ', 11), (' 사장님 ', 11), (' 게임 ', 10), (' 분위기 좋다 ', 10), (' 신촌 ', 10), ('가다 ', 10), (' 술집 ', 9), (' 음식 ', 9), (' 직원분들 ', 9), (' 친구 ', 9), (' 편하다 ', 9), ('너무 ', 9), (' 놀다 가다 ', 8), (' 엄청 ', 8), (' 완전 ', 8), (' 재밌다 놀다 ', 8), (' 좋다', 8), ('맛있다  ', 8), (' 너무 맛있다  ', 7), (' 대화 ', 7), (' 말다 ', 7), (' 술 ', 7), (' 시설 ', 7), (' 시스템 ', 7), (' 여기다 ', 7), (' 오다 ', 7), (' 친구 끼리 ', 7), ('가능하다 ', 7)]"
MA0101202211A0090992,대끼리돈까스,"[('', 807), ('맛있다', 165), ('돈까스', 121), ('먹다', 98), ('부드럽다', 78), ('고기', 73), ('너무', 68), ('좋다', 66), ('소스', 63), ('오다', 51), ('친절하다', 44), ('보다', 41), ('튀김', 40), ('바삭', 36), ('사장님', 35), ('많다', 29), ('맛', 27), ('한', 27), ('매장', 26), ('정말', 25), ('옷', 24), ('진짜', 24), ('샐러드', 22), ('식감', 20), ('않다', 20), ('엄청', 20), ('가다', 19), ('양도', 19), ('친절한', 17), ('깔끔하다', 16), ('느끼하다', 16), ('돈가스', 16), ('맛집', 16), ('청양고추', 16), ('귀엽다', 15), ('음식', 15), ('처음', 15), ('식빵', 14), ('강아지', 13), ('겉', 13), ('분위기', 13), ('아니다', 13), ('양', 13), ('요', 13), ('잘', 13), ('빵', 12), ('나오다', 12), ('서', 12), ('조각', 12), ('들어가다', 11)]","[(' 맛있다  ', 118), (' ', 91), ('돈까스 ', 71), (' 먹다 ', 62), (' 부드럽다 ', 55), (' 좋다 ', 52), (' 너무 ', 43), ('소스 ', 41), (' 고기 ', 40), ('고기 ', 32), (' 오다 ', 30), (' 친절하다 ', 30), (' 사장님 ', 26), (' 너무 맛있다  ', 24), (' 맛있다  먹다 ', 23), ('', 22), (' 바삭 ', 21), (' 많다 ', 20), (' 매장 ', 19), (' 고기 부드럽다 ', 17), (' 맛 ', 17), (' 샐러드 ', 17), (' 식감 ', 17), (' 엄청 ', 17), (' 정말 ', 17), (' 튀김 옷 ', 17), (' 진짜 ', 15), (' 느끼하다 ', 14), (' 양도 ', 14), (' 친절한 사장님 ', 14), ('맛있다  ', 14), (' 않다 ', 13), (' 청양고추 ', 13), ('너무 ', 13), (' 깔끔하다 ', 12), (' 너무 좋다 ', 12), (' 튀김 ', 12), (' 음식 ', 11), (' 귀엽다 ', 10), (' 너무 친절하다 ', 10), (' 먹다 보다 ', 10), (' 보다 ', 10), ('가다 ', 10), (' 고기 너무 ', 9), (' 나오다 ', 9), (' 너무 부드럽다 ', 9), (' 아니다 ', 9), (' 양 ', 9), (' 돈가스 ', 8), (' 맛있다 소스 ', 8)]"
MA010120220812266399,천궁전마라탕,"[('', 451), ('맛있다', 143), ('마라탕', 55), ('먹다', 36), ('좋다', 35), ('너무', 32), ('오다', 25), ('친절하다', 19), ('보다', 13), ('맛', 12), ('진짜', 12), ('많다', 11), ('추천', 11), ('항상', 11), ('매장', 10), ('신촌', 10), ('소스', 9), ('곳', 9), ('깔끔하다', 9), ('넓다', 9), ('만', 9), ('재료', 9), ('꿔바로우', 8), ('맛집', 8), ('마라탕집', 7), ('국물', 7), ('굿굿굿', 7), ('음식', 7), ('인데', 7), ('자주', 7), ('최고', 7), ('친절한', 7), ('들다', 6), ('바삭', 6), ('신촌마라탕', 6), ('싶다', 6), ('완전', 6), ('이에요', 6), ('궁전', 5), ('깔끔한', 5), ('꿔바로우도', 5), ('단계', 5), ('많이', 5), ('양도', 5), ('얼얼하다', 5), ('오늘', 5), ('요', 5), ('정말', 5), ('천', 5), ('2', 4)]","[(' 맛있다  ', 71), (' ', 36), ('마라탕 ', 32), ('맛있다  ', 28), ('맛있다 ', 27), (' 먹다 ', 25), (' 너무 맛있다  ', 23), ('너무 ', 21), (' 좋다 ', 19), (' 맛있다 ', 17), (' 오다 ', 16), (' 진짜 ', 12), (' 친절하다 ', 11), (' 매장 ', 10), (' 항상 ', 10), ('', 9), (' 재료 ', 9), ('좋다', 8), (' 너무 ', 7), (' 많다 ', 7), (' 맛있다  먹다 ', 7), (' 신촌 ', 7), (' 좋다', 7), ('굿굿굿', 7), (' 깔끔하다 ', 6), (' 넓다 ', 6), (' 완전 ', 6), (' 맛 ', 5), (' 바삭 ', 5), (' 싶다 ', 5), (' 양도 ', 5), (' 양도 많다 ', 5), (' 음식 ', 5), (' 정말 ', 5), (' 친절하다', 5), ('꿔바로우 ', 5), ('마라탕 먹다 ', 5), (' 깔끔한 매장 ', 4), (' 맛있다  친절하다 ', 4), (' 신촌마라탕 ', 4), (' 신촌역 ', 4), (' 엄청 ', 4), (' 없다 ', 4), (' 오늘 ', 4), (' 자주 ', 4), (' 추천', 4), (' 친절한 사장님 ', 4), (' 항상 맛있다 ', 4), ('마라탕 맛있다  ', 4), ('많다 ', 4)]"
MA0101202212A0049657,카린지린가네스낵바 신촌점,"[('', 719), ('맛있다', 105), ('좋다', 69), ('먹다', 65), ('너무', 40), ('맛', 31), ('분위기', 31), ('음식', 29), ('돈까스', 25), ('진짜', 25), ('카레', 24), ('맛집', 20), ('보다', 18), ('이에요', 18), ('일본', 18), ('친절하다', 18), ('가다', 16), ('신촌', 16), ('오다', 16), ('정말', 14), ('메뉴', 13), ('추천', 13), ('되다', 12), ('식사', 12), ('싶다', 12), ('소스', 11), ('경', 11), ('한', 11), ('깔끔하다', 10), ('느낌', 10), ('다', 10), ('들다', 10), ('볼', 10), ('사장님', 10), ('인테리어', 10), ('잘', 10), ('좋아하다', 10), ('하이', 10), ('방문', 9), ('안주', 9), ('않다', 9), ('양식돈까스', 9), ('없다', 9), ('인', 9), ('최고', 9), ('팅', 9), ('곳', 8), ('나오다', 8), ('많다', 8), ('매장', 8)]","[(' 맛있다  ', 72), (' ', 57), (' 좋다 ', 47), (' 먹다 ', 34), (' 음식 ', 21), (' 분위기 ', 20), (' 진짜 ', 19), (' 너무 ', 17), (' 너무 맛있다  ', 16), (' 카레 ', 16), ('너무 ', 16), (' 맛있다  먹다 ', 13), (' 맛 ', 12), (' 신촌 ', 12), ('돈까스 ', 12), (' 일본 ', 11), (' 친절하다 ', 11), ('맛있다  ', 11), (' 정말 ', 10), (' 싶다 ', 9), (' 메뉴 ', 8), (' 사장님 ', 8), (' 음식 맛있다  ', 8), (' 인테리어 ', 8), ('', 7), (' 오다 ', 7), ('가다 ', 7), ('소스 ', 7), (' 깔끔하다 ', 6), (' 되다 ', 6), (' 맛집 ', 6), (' 방문 ', 6), (' 분위기 좋다 ', 6), (' 식사 ', 6), (' 안주 ', 6), (' 웨이 팅 ', 6), (' 추천 ', 6), (' 코돈 부르다 ', 6), (' 괜찮다 ', 5), (' 너무 좋다 ', 5), (' 많다 ', 5), (' 매장 ', 5), (' 생각나다 ', 5), (' 아주 ', 5), (' 제일 ', 5), (' 친구 ', 5), (' 하이 볼 ', 5), ('가격 ', 5), ('경 양식돈까스 ', 5), ('소스카츠동 ', 5)]"
MA010120220806853760,오늘와인한잔 신촌역점,"[('', 610), ('좋다', 134), ('맛있다', 99), ('분위기', 90), ('와인', 60), ('너무', 57), ('친절하다', 36), ('음식', 32), ('오다', 29), ('안주', 26), ('한잔', 24), ('가성비', 20), ('먹다', 18), ('대화', 15), ('오늘', 15), ('다양하다', 14), ('술', 14), ('조용하다', 13), ('신촌', 12), ('데이트', 11), ('가다', 9), ('곳', 9), ('추천', 9), ('맛', 8), ('와인잔', 8), ('최고', 8), ('만', 7), ('말다', 7), ('방문', 7), ('보다', 7), ('연인', 7), ('용', 7), ('음악', 7), ('정말', 7), ('직원분', 7), ('직원분들', 7), ('친구', 7), ('친절한', 7), ('한', 7), ('감', 6), ('노래', 6), ('달달', 6), ('매장', 6), ('바스', 6), ('보내다', 6), ('분', 6), ('싶다', 6), ('요', 6), ('자주', 6), ('가볍다', 5)]","[(' 좋다 ', 100), (' 분위기 ', 69), (' 맛있다  ', 68), (' ', 54), (' 분위기 좋다 ', 46), (' 와인 ', 38), ('너무 ', 32), (' 너무 좋다 ', 29), (' 음식 ', 26), (' 좋다', 22), (' 너무 ', 21), (' 오다 ', 21), (' 안주 ', 20), (' 친절하다 ', 20), (' 너무 맛있다  ', 19), (' 분위기 너무 ', 16), ('맛있다  ', 16), ('', 15), (' 너무 친절하다 ', 12), (' 대화 ', 11), (' 술 ', 11), (' 조용하다 ', 11), ('가성비 ', 11), (' 음식 맛있다  ', 10), (' 가성비 좋다 ', 9), (' 다양하다 ', 9), (' 대화 좋다 ', 9), (' 데이트 ', 9), (' 맛있다  분위기 ', 9), (' 분위기         분위기 좋다 ', 9), (' 신촌 ', 9), (' 와인 맛있다  ', 9), (' 와인 한잔 ', 9), (' 먹다 ', 8), (' 오늘 ', 8), ('    ', 7), ('       ', 7), (' 오늘 와인 한잔 ', 7), (' 직원분 ', 7), (' 한잔 ', 7), ('분위기 ', 7), ('        ', 6), ('     ', 6), ('              ', 6), (' 말다 ', 6), (' 보내다 ', 6), (' 싶다 ', 6), (' 안주 맛있다  ', 6), (' 음식 너무 ', 6), (' 정말 ', 6)]"
3318,탈리,"[('', 572), ('맛있다', 116), ('베이글', 83), ('좋다', 68), ('너무', 50), ('먹다', 48), ('분위기', 40), ('오다', 30), ('맛', 23), ('커피', 23), ('보다', 21), ('치즈', 20), ('크림', 20), ('신촌', 17), ('인테리어', 17), ('브런치', 15), ('매장', 14), ('샌드위치', 14), ('방문', 13), ('잠봉뵈르', 13), ('곳', 12), ('예쁘다', 12), ('이에요', 11), ('가다', 9), ('넓다', 9), ('맛집', 9), ('없다', 9), ('연어', 9), ('정말', 9), ('메뉴', 8), ('바질', 8), ('이라', 8), ('이랑', 8), ('추천', 8), ('친절하다', 8), ('괜찮다', 7), ('굿굿굿', 7), ('대파', 7), ('많다', 7), ('않다', 7), ('요', 7), ('용', 7), ('잘', 7), ('카페', 7), ('플러피에그', 7), ('한', 7), ('소스', 6), ('2', 6), ('느낌', 6), ('살몬', 6)]","[(' 맛있다  ', 81), (' 베이글 ', 55), (' ', 44), (' 좋다 ', 42), (' 분위기 ', 32), (' 먹다 ', 29), (' 너무 ', 24), (' 너무 맛있다  ', 24), ('너무 ', 22), (' 크림 치즈 ', 16), ('', 14), (' 오다 ', 14), (' 신촌 ', 13), (' 인테리어 ', 13), (' 분위기 좋다 ', 12), (' 커피 ', 12), (' 매장 ', 11), (' 너무 좋다 ', 10), (' 브런치 ', 10), (' 샌드위치 ', 10), (' 잠봉뵈르 ', 10), ('맛있다 ', 10), ('맛있다  ', 10), (' 방문 ', 9), (' 맛 ', 8), (' 예쁘다 ', 8), (' 베이글 맛있다  ', 7), (' 정말 ', 7), (' 좋다', 7), ('굿굿굿', 7), (' 맛있다  베이글 ', 6), (' 분위기 너무 ', 6), (' 친절하다 ', 6), ('2 층 ', 6), (' 넓다 ', 5), (' 많다 ', 5), (' 맛있다 ', 5), (' 먹다 보다 ', 5), (' 메뉴 ', 5), (' 브런치 먹다 ', 5), (' 살몬딜 ', 5), (' 싶다 ', 5), (' 아니다 ', 5), (' 자리 ', 5), (' 진짜 ', 5), ('가다 ', 5), ('좋다', 5), (' 괜찮다 ', 4), (' 따뜻하다 ', 4), (' 맛있다  커피 ', 4)]"
MA0101202212A0018048,오므파탈 신촌점,"[('', 561), ('맛있다', 130), ('좋다', 59), ('먹다', 53), ('많다', 50), ('너무', 44), ('친절하다', 37), ('오므라이스', 36), ('오다', 32), ('양도', 26), ('소스', 24), ('음식', 24), ('맛', 21), ('진짜', 20), ('추천', 20), ('메뉴', 18), ('보다', 18), ('매콤', 16), ('매장', 15), ('다양하다', 14), ('크림', 14), ('가격', 13), ('신촌', 13), ('깔끔하다', 12), ('방문', 12), ('양', 12), ('혼밥', 12), ('가다', 11), ('분위기', 11), ('인테리어', 11), ('토핑', 11), ('파스타', 10), ('나오다', 10), ('사장님', 10), ('생기다', 10), ('않다', 10), ('자주', 10), ('추가', 10), ('기분좋다', 9), ('리조또', 9), ('많이', 9), ('맛집', 9), ('에도', 9), ('한', 9), ('새롭다', 8), ('선택', 8), ('없다', 8), ('장님', 8), ('적', 8), ('주다', 8)]","[(' 맛있다  ', 81), (' ', 51), (' 좋다 ', 43), (' 많다 ', 39), (' 먹다 ', 35), (' 오므라이스 ', 29), (' 너무 ', 26), (' 친절하다 ', 23), (' 너무 맛있다  ', 22), (' 양도 ', 21), ('맛있다  ', 20), (' 음식 ', 18), ('소스 ', 18), ('', 17), (' 양도 많다 ', 16), (' 오다 ', 15), (' 진짜 ', 15), (' 다양하다 ', 12), (' 매장 ', 12), ('맛있다 ', 12), ('너무 ', 11), (' 맛 ', 10), (' 방문 ', 10), (' 나오다 ', 8), (' 메뉴 ', 8), (' 신촌 ', 8), (' 혼밥 ', 8), ('가격 ', 8), (' 너무 좋다 ', 7), (' 많다 맛있다  ', 7), (' 맛있다  양도 ', 7), (' 맛집 ', 7), (' 배부르다 ', 7), (' 분위기 ', 7), (' 생기다 ', 7), (' 않다 ', 7), (' 양 ', 7), (' 인테리어 ', 7), (' 추천 ', 7), (' 토핑 ', 7), ('파스타 ', 7), (' 먹기 ', 6), (' 먹다 오다 ', 6), (' 선택 ', 6), (' 엄청 ', 6), (' 자주 ', 6), (' 재방문의사 ', 6), (' 진짜 맛있다  ', 6), (' 친절하다', 6), ('깔끔하다 ', 6)]"
MA010120220812974480,호탕마라탕,"[('', 543), ('맛있다', 125), ('마라탕', 91), ('먹다', 53), ('너무', 44), ('오다', 43), ('좋다', 34), ('신촌', 32), ('친절하다', 31), ('보다', 26), ('사장님', 20), ('맛', 19), ('메뉴', 19), ('만', 18), ('얼얼하다', 18), ('진짜', 18), ('추천', 16), ('마라샹궈', 14), ('이에요', 14), ('친절한', 14), ('마르다', 13), ('비건', 13), ('여기다', 13), ('처음', 13), ('최고', 13), ('많다', 12), ('집', 11), ('항상', 11), ('호탕마라탕', 11), ('국물', 10), ('들다', 10), ('맛집', 10), ('신촌마라탕', 10), ('정말', 10), ('싶다', 9), ('없다', 9), ('제일', 9), ('가게', 8), ('가다', 8), ('곳', 8), ('깔끔하다', 8), ('요', 8), ('자주', 8), ('좋아하다', 8), ('맵다', 7), ('방문', 7), ('음식', 7), ('인데', 7), ('만두', 6), ('꽃빵', 6)]","[(' 맛있다  ', 82), (' ', 53), ('마라탕 ', 53), (' 먹다 ', 40), (' 오다 ', 33), (' 너무 맛있다  ', 25), (' 좋다 ', 25), (' 신촌 ', 23), ('너무 ', 22), (' 친절하다 ', 19), (' 너무 ', 17), (' 얼얼하다 ', 15), ('맛있다  ', 15), (' 메뉴 ', 14), (' 진짜 ', 14), (' 사장님 ', 11), (' 여기다 ', 11), (' 마라샹궈 ', 10), (' 처음 ', 10), ('맛있다 ', 10), (' 비건 ', 9), (' 맛있다  먹다 ', 8), (' 먹다 보다 ', 8), (' 신촌마라탕 ', 8), (' 없다 ', 8), (' 자주 ', 8), (' 제일 ', 8), (' 항상 ', 8), (' 싶다 ', 7), (' 오다 보다 ', 7), (' 최고 ', 7), (' 추천 ', 7), (' 친절한 사장님 ', 7), ('마라탕 맛있다  ', 7), ('마라탕 먹다 ', 7), (' 국물 ', 6), (' 너무 좋다 ', 6), (' 많다 ', 6), (' 맛 ', 6), (' 맛있다 ', 6), (' 맛있다  사장님 ', 6), (' 맛있다 마라탕 ', 6), (' 맵다 ', 6), (' 성젠바오 ', 6), (' 음식 ', 6), (' 정말 ', 6), ('', 5), (' 많이 ', 5), (' 좋아하다 ', 5), (' 집 ', 5)]"
MA010120220814145908,마더린러 베이글,"[('', 289), ('맛있다', 66), ('베이글', 66), ('크림', 27), ('먹다', 26), ('치즈', 26), ('샌드위치', 18), ('맛', 17), ('굿굿굿', 15), ('쫄깃', 15), ('좋다', 14), ('빵', 11), ('보다', 11), ('너무', 10), ('연어', 10), ('가다', 8), ('다양하다', 8), ('마더', 8), ('요', 8), ('유명하다', 8), ('정말', 8), ('노바', 7), ('린러', 7), ('만', 7), ('블루베리', 7), ('식감', 7), ('플레인', 7), ('들다', 6), ('방문', 6), ('싶다', 6), ('엄청', 6), ('없다', 6), ('엔', 6), ('이라', 6), ('이랑', 6), ('이에요', 6), ('종류', 6), ('집', 6), ('친절하다', 6), ('곳', 5), ('되다', 5), ('메뉴', 5), ('시나몬', 5), ('오늘', 5), ('좋아하다', 5), ('진짜', 5), ('최고', 5), ('추천', 5), ('토마토', 5), ('한', 5)]","[(' 베이글 ', 51), (' 맛있다  ', 31), (' ', 24), ('맛있다  ', 16), (' 크림 치즈 ', 15), ('굿굿굿', 15), (' 먹다 ', 13), (' 샌드위치 ', 12), ('빵 ', 7), (' 너무 ', 6), (' 너무 맛있다  ', 6), (' 블루베리 ', 6), (' 연어 ', 6), (' 정말 ', 6), (' 좋다 ', 6), (' 쫄깃 ', 6), (' 식감 ', 5), (' 싶다 ', 5), (' 유명하다 ', 5), (' 좋아하다 ', 5), ('가다 ', 5), ('다양하다 ', 5), ('맛있다', 5), (' 가다 ', 4), (' 들다 ', 4), (' 맛있다 ', 4), (' 매장 ', 4), (' 엄청 ', 4), (' 엔 ', 4), (' 오늘 ', 4), (' 종류 ', 4), (' 쫄깃 한 ', 4), (' 플레인 ', 4), ('너무 ', 4), ('맛있다 ', 4), ('좋다', 4), ('', 3), (' 기본 ', 3), (' 노바 ', 3), (' 뉴욕 ', 3), (' 다양하다 ', 3), (' 마더 린러 ', 3), (' 많다 ', 3), (' 맛 ', 3), (' 맛 이라 ', 3), (' 맛있다  베이글 ', 3), (' 맞다 ', 3), (' 먹다 싶다 ', 3), (' 발라 먹다 ', 3), (' 방문 ', 3)]"
MA010120220809408624,독립문설렁탕,"[('', 188), ('좋다', 32), ('맛있다', 31), ('가성비', 29), ('설렁탕', 19), ('굿굿굿', 14), ('먹다', 13), ('많다', 10), ('음식', 10), ('불고기', 9), ('맛', 9), ('6000원', 8), ('가격', 8), ('한', 8), ('고기', 7), ('김치', 6), ('불친절하다', 6), ('저렴하다', 6), ('혼밥', 6), ('6천원', 5), ('국물', 5), ('들다', 5), ('많이', 5), ('최고', 5), ('친절하다', 5), ('가다', 4), ('곳', 4), ('나오다', 4), ('너무', 4), ('든든하다', 4), ('보다', 4), ('분', 4), ('식사', 4), ('이에요', 4), ('정말', 4), ('착하다', 4), ('괜찮다', 3), ('그렇다', 3), ('끼', 3), ('먹기', 3), ('못', 3), ('비', 3), ('빨리', 3), ('손님', 3), ('신촌', 3), ('싸다', 3), ('앉다', 3), ('알다', 3), ('푸짐하다', 3), ('2023년', 2)]","[(' ', 17), ('가성비 ', 15), ('굿굿굿', 14), ('좋다', 14), (' 설렁탕 ', 12), (' 좋다 ', 12), (' 맛있다  ', 11), ('맛있다  ', 9), (' 가성비 ', 8), (' 맛 ', 8), ('맛있다 ', 8), ('불고기 ', 7), (' 많다 ', 6), (' 가성비 좋다 ', 5), (' 고기 ', 5), (' 먹다 ', 5), (' 음식 ', 5), (' 저렴하다 ', 5), (' 좋다', 5), ('6000원 ', 5), ('가격 ', 5), (' 국물 ', 4), (' 김치 ', 4), (' 많이 ', 4), (' 가격 ', 3), (' 가다 ', 3), (' 가성비 최고 ', 3), (' 고기 많이 ', 3), (' 그렇다 ', 3), (' 너무 ', 3), (' 든든하다 한 끼 ', 3), (' 맛 좋다 ', 3), (' 먹기 ', 3), (' 먹기 좋다 ', 3), (' 식사 ', 3), (' 앉다 ', 3), (' 알다 ', 3), (' 최고 ', 3), ('6천원 ', 3), (' 2023년 설렁탕 ', 2), (' 6000원 이라니 ', 2), (' 6천원 ', 2), (' 가격 저렴하다 ', 2), (' 가격 착하다 ', 2), (' 가성비  좋다 ', 2), (' 가성비 가시다 비 ', 2), (' 고기 듬뿍 ', 2), (' 곳 ', 2), (' 괜찮다 ', 2), (' 그냥 ', 2)]"
